,MAE,RMSE,MAPE,Pearson
BigSmall_PURE_UBFC_PEAK_03,13.607000350952148,22.33099937438965,14.333,0.453
CHROM_PURE_PURE_FFT_03,12.20199966430664,24.155000686645508,12.902,0.094
CHROM_PURE_PURE_FFT_05,13.126999855041504,25.87700080871582,13.896,0.156
CHROM_PURE_PURE_FFT_10,13.38700008392334,26.950000762939453,13.898,0.119
CHROM_PURE_PURE_FFT_20,13.361000061035156,27.625,13.457,0.093
CHROM_PURE_PURE_FFT_30,14.609000205993652,28.030000686645508,15.21,0.08
CHROM_UBFC_UBFC_PEAK_03,,,,
CHROM_UBFC_UBFC_PEAK_05,41.867000579833984,47.27799987792969,39.418,-0.135
CHROM_UBFC_UBFC_PEAK_10,43.94400024414063,48.3120002746582,41.682,-0.14
CHROM_UBFC_UBFC_PEAK_20,46.00600051879883,49.678001403808594,43.768,-0.224
CHROM_UBFC_UBFC_PEAK_30,46.93899917602539,50.3120002746582,44.934,-0.195
DeepPhys_PURE_PURE_FFT_03,2.6679999828338623,10.097000122070312,3.418,0.892
DeepPhys_PURE_PURE_FFT_05,1.6230000257492063,7.9629998207092285,1.993,0.94
DeepPhys_PURE_PURE_FFT_10,1.6150000095367432,8.829999923706055,1.949,0.924
DeepPhys_PURE_PURE_FFT_20,3.0910000801086426,13.017999649047852,2.996,0.843
DeepPhys_PURE_PURE_FFT_30,2.437000036239624,10.437000274658203,2.842,0.889
DeepPhys_PURE_PURE_PEAK_03,16.354999542236328,28.61800003051757,23.948,0.493
DeepPhys_PURE_PURE_PEAK_05,14.06700038909912,23.33699989318848,20.887,0.59
DeepPhys_PURE_PURE_PEAK_10,12.300000190734863,18.26300048828125,18.325,0.697
DeepPhys_PURE_PURE_PEAK_20,10.531000137329102,14.376999855041504,16.024,0.79
DeepPhys_PURE_PURE_PEAK_30,9.809000015258787,12.756999969482422,14.625,0.841
DeepPhys_PURE_UBFC_FFT_03,3.732000112533569,11.621999740600586,3.688,0.819
DeepPhys_PURE_UBFC_FFT_05,3.566999912261963,12.32699966430664,3.447,0.799
DeepPhys_PURE_UBFC_FFT_10,4.313000202178955,13.869000434875488,4.234,0.758
DeepPhys_PURE_UBFC_FFT_20,3.61899995803833,12.243000030517578,3.685,0.8
DeepPhys_PURE_UBFC_FFT_30,4.584000110626221,12.65999984741211,4.644,0.797
DeepPhys_PURE_UBFC_PEAK_03,10.050999641418455,17.75200080871582,10.57,0.598
DeepPhys_PURE_UBFC_PEAK_05,8.345000267028809,14.529999732971191,8.847,0.69
DeepPhys_PURE_UBFC_PEAK_10,6.673999786376953,10.951000213623049,7.134,0.782
