,MAE,RMSE,MAPE,Pearson
BigSmall_PURE_PURE_72_30_10,0.68,1.547,0.98,0.981
BigSmall_PURE_PURE_72_30_20,0.117,0.454,0.163,0.999
BigSmall_PURE_PURE_72_30_30,0.176,0.556,0.333,0.998
BigSmall_PURE_PURE_72_30_5,1.598,3.568,2.529,0.914
BigSmall_PURE_UBFC_72_30_10,3.419,11.862,3.338,0.817
BigSmall_PURE_UBFC_72_30_20,3.999,13.953,3.533,0.725
BigSmall_PURE_UBFC_72_30_3,6.285,15.475,6.353,0.711
BigSmall_PURE_UBFC_72_30_30,5.323,15.329,4.851,0.69
BigSmall_PURE_UBFC_72_30_5,5.251,14.283,5.156,0.75
BigSmall_UBFC_PURE_72_30_10,5.819,18.685,5.468,0.636
BigSmall_UBFC_PURE_72_30_20,4.634,16.923,4.015,0.706
BigSmall_UBFC_PURE_72_30_3,9.238,19.944,10.24,0.501
BigSmall_UBFC_PURE_72_30_30,6.071,19.852,5.304,0.573
BigSmall_UBFC_PURE_72_30_5,7.516,19.226,8.346,0.603
BigSmall_UBFC_PURE_72_5_10,23.555,35.99,22.892,0.415
BigSmall_UBFC_PURE_72_5_5,23.547,35.466,24.815,0.33
BigSmall_UBFC_UBFC_72_30_10,0.586,1.435,0.538,0.994
BigSmall_UBFC_UBFC_72_30_20,2.539,4.184,2.43,0.947
BigSmall_UBFC_UBFC_72_30_30,0.0,0.0,0.0,1.0
BigSmall_UBFC_UBFC_72_30_5,0.721,2.252,0.712,0.979
DeepPhys_PURE_PURE_72_30_10,0.68,1.547,1.079,0.981
DeepPhys_PURE_PURE_72_30_20,0.117,0.454,0.163,0.999
DeepPhys_PURE_PURE_72_30_30,0.176,0.556,0.333,0.998
DeepPhys_PURE_PURE_72_30_5,1.004,2.658,1.511,0.949
DeepPhys_PURE_UBFC_72_30_10,1.855,7.763,1.904,0.913
DeepPhys_PURE_UBFC_72_30_20,1.516,5.287,1.557,0.957
DeepPhys_PURE_UBFC_72_30_3,4.646,12.756,4.812,0.778
DeepPhys_PURE_UBFC_72_30_30,1.684,5.988,1.745,0.949
DeepPhys_PURE_UBFC_72_30_5,2.609,9.021,2.647,0.884
DeepPhys_UBFC_PURE_72_30_10,5.635,17.641,6.076,0.674
DeepPhys_UBFC_PURE_72_30_20,4.896,17.153,4.673,0.701
DeepPhys_UBFC_PURE_72_30_3,7.857,17.698,9.472,0.627
DeepPhys_UBFC_PURE_72_30_30,3.662,13.585,3.588,0.819
DeepPhys_UBFC_PURE_72_30_5,7.111,17.926,8.497,0.663
DeepPhys_UBFC_PURE_72_5_10,26.719,39.369,26.05,0.178
DeepPhys_UBFC_PURE_72_5_20,25.195,39.839,22.811,0.019
DeepPhys_UBFC_PURE_72_5_5,23.027,33.922,24.852,0.392
DeepPhys_UBFC_UBFC_72_30_10,0.977,2.748,1.069,0.975
DeepPhys_UBFC_UBFC_72_30_20,2.148,3.262,2.04,0.965
DeepPhys_UBFC_UBFC_72_30_30,3.809,9.329,3.283,0.537
DeepPhys_UBFC_UBFC_72_30_5,0.721,2.252,0.722,0.981
DeepPhys_UBFC_UBFC_72_5_10,0.879,1.758,0.893,1.0
DeepPhys_UBFC_UBFC_72_5_20,0.0,0.0,0.0,1.0
DeepPhys_UBFC_UBFC_72_5_30,0.0,0.0,0.0,
DeepPhys_UBFC_UBFC_72_5_5,4.688,11.951,4.663,0.775
EfficientPhys_PURE_PURE_72_30_10,0.567,1.412,0.94,0.991
EfficientPhys_PURE_PURE_72_30_20,0.0,0.0,0.0,1.0
EfficientPhys_PURE_PURE_72_30_30,0.176,0.556,0.333,0.999
EfficientPhys_PURE_PURE_72_30_5,0.974,2.616,1.474,0.969
EfficientPhys_PURE_UBFC_72_30_10,1.278,6.402,1.313,0.938
EfficientPhys_PURE_UBFC_72_30_20,1.376,5.991,1.373,0.942
EfficientPhys_PURE_UBFC_72_30_3,4.344,12.343,4.412,0.792
EfficientPhys_PURE_UBFC_72_30_30,1.43,5.837,1.395,0.942
EfficientPhys_PURE_UBFC_72_30_5,2.208,8.455,2.197,0.892
EfficientPhys_UBFC_PURE_72_30_10,3.33,12.931,3.543,0.834
EfficientPhys_UBFC_PURE_72_30_20,2.49,11.287,2.514,0.873
EfficientPhys_UBFC_PURE_72_30_3,8.358,18.714,10.177,0.566
EfficientPhys_UBFC_PURE_72_30_30,1.743,8.45,2.02,0.93
EfficientPhys_UBFC_PURE_72_30_5,5.794,15.515,7.061,0.748
EfficientPhys_UBFC_PURE_72_5_10,13.887,23.307,14.522,0.746
EfficientPhys_UBFC_PURE_72_5_20,15.625,28.416,14.746,0.633
EfficientPhys_UBFC_PURE_72_5_5,15.044,26.045,15.182,0.668
EfficientPhys_UBFC_UBFC_72_30_10,0.586,2.269,0.675,0.979
EfficientPhys_UBFC_UBFC_72_30_20,2.197,3.479,2.035,0.95
EfficientPhys_UBFC_UBFC_72_30_30,3.516,8.292,3.048,0.536
EfficientPhys_UBFC_UBFC_72_30_5,0.27,1.379,0.268,0.99
TSCAN_PURE_PURE_72_30_10,0.68,1.547,1.079,0.981
TSCAN_PURE_PURE_72_30_20,0.117,0.454,0.163,0.999
TSCAN_PURE_PURE_72_30_30,0.176,0.556,0.333,0.998
TSCAN_PURE_PURE_72_30_5,0.959,2.596,1.48,0.954
TSCAN_PURE_UBFC_72_30_10,2.296,9.068,2.315,0.884
TSCAN_PURE_UBFC_72_30_20,1.435,5.3,1.44,0.956
TSCAN_PURE_UBFC_72_30_3,4.424,12.432,4.623,0.796
TSCAN_PURE_UBFC_72_30_30,1.634,6.089,1.488,0.942
TSCAN_PURE_UBFC_72_30_5,2.388,8.85,2.467,0.89
TSCAN_UBFC_PURE_72_30_10,3.0,12.098,3.286,0.859
TSCAN_UBFC_PURE_72_30_20,3.249,12.525,3.265,0.846
TSCAN_UBFC_PURE_72_30_3,8.232,18.453,9.62,0.588
TSCAN_UBFC_PURE_72_30_30,1.628,7.435,1.924,0.948
TSCAN_UBFC_PURE_72_30_5,5.093,14.907,6.069,0.777
TSCAN_UBFC_PURE_72_5_10,24.609,37.156,24.768,0.366
TSCAN_UBFC_PURE_72_5_20,24.805,38.792,21.923,0.417
TSCAN_UBFC_PURE_72_5_5,22.075,34.563,22.586,0.364
TSCAN_UBFC_UBFC_72_30_10,1.367,3.612,1.48,0.955
TSCAN_UBFC_UBFC_72_30_20,2.148,3.262,2.04,0.965
TSCAN_UBFC_UBFC_72_30_30,4.688,9.574,4.064,0.513
TSCAN_UBFC_UBFC_72_30_5,0.361,1.592,0.368,0.989
TSCAN_UBFC_UBFC_72_5_10,0.0,0.0,0.0,1.0
TSCAN_UBFC_UBFC_72_5_20,0.0,0.0,0.0,1.0
TSCAN_UBFC_UBFC_72_5_5,4.922,13.525,4.911,0.763
BigSmall_UBFC_PURE_72_30_10,5.718,17.785,5.532,0.677
BigSmall_PURE_UBFC_72_30_10,3.291,11.376,3.186,0.825
